steering,fixpoint_odometer_steps,radius,alpha,rad
2569.0,0,75.67,2.120102849697773,2.8
2569.0,2,75.67,5.300257124244433,7.0
2568.0,7,67.68,9.48157107781504,11.2
2569.0,15,75.67,9.540462823639979,12.6
2571.0,24,91.34,7.903731353895743,12.6
2589.0,33,213.14,3.0107569228981985,11.2
2619.0,41,336.29,2.146738891625791,12.6
2639.0,50,360.08,2.0049067481249647,12.6
2637.0,59,359.87,1.7831792884834021,11.2
2648.0,67,354.92,2.0340550599144516,12.6
2655.0,76,343.93,2.0990516147612515,12.6
2655.0,85,343.93,1.8658236575655567,11.2
2656.0,93,341.86,2.111761603770073,12.6
2652.0,102,349.4,1.8366134245750485,11.2
2647.0,110,355.99,2.027941295724142,12.6
2644.0,119,358.45,2.0140237742079434,12.6
2642.0,128,359.47,2.008308960037937,12.6
2638.0,137,360.04,2.0051294907922377,12.6
2638.0,146,360.04,2.0051294907922377,12.6
2639.0,155,360.08,1.7821393316666352,11.2
2640.0,163,360.0,2.2281692032865346,14.0
2644.0,173,358.45,1.790243354851505,11.2
2644.0,181,358.45,2.0140237742079434,12.6
2642.0,190,359.47,2.008308960037937,12.6
2639.0,199,360.08,1.7821393316666352,11.2
2638.0,207,360.04,2.0051294907922377,12.6
2637.0,216,359.87,2.0060766995438275,12.6
2635.0,225,359.18,2.009930457889741,12.6
2634.0,234,358.65,2.0129006604345108,12.6
2633.0,243,357.99,2.01661169827324,12.6
2635.0,252,359.18,2.009930457889741,12.6
2634.0,261,358.65,1.789245031497343,11.2
2635.0,269,359.18,2.4565816707541277,15.399999999999999
2638.0,280,360.04,2.0051294907922377,12.6
2642.0,289,359.47,1.7851635200337217,11.2
2641.0,297,359.8,2.0064669868394587,12.6
2640.0,306,360.0,2.0053522829578814,12.6
2639.0,315,360.08,1.7821393316666352,11.2
2638.0,323,360.04,2.0051294907922377,12.6
2642.0,332,359.47,2.008308960037937,12.6
2642.0,341,359.47,2.008308960037937,12.6
2644.0,350,358.45,2.0140237742079434,12.6
2647.0,359,355.99,1.8026144850881256,11.2
2645.0,367,357.76,2.017908155928101,12.6
2641.0,376,359.8,2.0064669868394587,12.6
2639.0,385,360.08,2.0049067481249647,12.6
2641.0,394,359.8,2.0064669868394587,12.6
2639.0,403,360.08,1.7821393316666352,11.2
2641.0,411,359.8,2.229407763154954,14.0
2639.0,421,360.08,1.7821393316666352,11.2
2623.0,429,344.87,1.8607380478050335,11.2
2596.0,437,250.97,2.8765462878624426,12.6
2579.0,446,149.77,4.820236508411813,12.6
2574.0,455,114.05,6.32991514129625,12.6
2568.0,464,67.68,10.666767462541921,12.6
2564.0,473,34.67,18.50916442303207,11.2
2567.0,481,59.58,12.11693222331046,12.6
2573.0,490,106.58,6.773567478559179,12.6
2574.0,499,114.05,5.626591236707777,11.2
2574.0,507,114.05,6.32991514129625,12.6
2575.0,516,121.4,5.946678928046435,12.6
2571.0,525,91.34,7.02553898124066,11.2
2570.0,533,83.55,8.640656156371481,12.6
2570.0,542,83.55,8.640656156371481,12.6
2571.0,551,91.34,7.02553898124066,11.2
2571.0,559,91.34,7.903731353895743,12.6
2571.0,568,91.34,7.903731353895743,12.6
2572.0,577,99.01,7.2914536093812465,12.6
2571.0,586,91.34,7.903731353895743,12.6
2571.0,595,91.34,7.02553898124066,11.2
2569.0,603,75.67,10.600514248488865,14.0
2571.0,613,91.34,7.02553898124066,11.2
2572.0,621,99.01,7.2914536093812465,12.6
2572.0,630,99.01,7.2914536093812465,12.6
2572.0,639,99.01,6.481292097227774,11.2
2569.0,647,75.67,9.540462823639979,12.6
2570.0,656,83.55,8.640656156371481,12.6
2567.0,665,59.58,10.770606420720409,11.2
2570.0,673,83.55,8.640656156371481,12.6
2592.0,682,230.02,3.1385393525121175,12.6
2623.0,691,344.87,1.8607380478050335,11.2
2641.0,699,359.8,2.0064669868394587,12.6
2647.0,708,355.99,1.8026144850881256,11.2
2653.0,716,347.7,2.0762922688088503,12.6
2656.0,725,341.86,1.8771214255733981,11.2
2657.0,733,339.66,2.1254396215769806,12.6
2654.0,742,345.88,1.8553045291619117,11.2
2652.0,750,349.4,2.06619010264693,12.6
2647.0,759,355.99,1.8026144850881256,11.2
2647.0,767,355.99,2.027941295724142,12.6
2647.0,776,355.99,2.027941295724142,12.6
2644.0,785,358.45,2.0140237742079434,12.6
2645.0,794,357.76,2.017908155928101,12.6
2643.0,803,359.02,1.7874010655298367,11.2
2646.0,811,356.94,2.247271006844715,14.0
2642.0,821,359.47,1.7851635200337217,11.2
2639.0,829,360.08,2.0049067481249647,12.6
2637.0,838,359.87,2.0060766995438275,12.6
2638.0,847,360.04,1.7823373251486556,11.2
2637.0,855,359.87,2.0060766995438275,12.6
2638.0,864,360.04,2.0051294907922377,12.6
2631.0,873,356.33,2.026006291541092,12.6
2627.0,882,351.55,2.0535537529934214,12.6
2625.0,891,348.45,2.0718232798531706,12.6
2629.0,900,354.18,1.8118265586609124,11.2
2635.0,908,359.18,2.009930457889741,12.6
