steering,fixpoint_odometer_steps
2569.0,0
2569.0,2
2568.0,7
2569.0,15
2571.0,24
2589.0,33
2619.0,41
2639.0,50
2637.0,59
2648.0,67
2655.0,76
2655.0,85
2656.0,93
2652.0,102
2647.0,110
2644.0,119
2642.0,128
2638.0,137
2638.0,146
2639.0,155
2640.0,163
2644.0,173
2644.0,181
2642.0,190
2639.0,199
2638.0,207
2637.0,216
2635.0,225
2634.0,234
2633.0,243
2635.0,252
2634.0,261
2635.0,269
2638.0,280
2642.0,289
2641.0,297
2640.0,306
2639.0,315
2638.0,323
2642.0,332
2642.0,341
2644.0,350
2647.0,359
2645.0,367
2641.0,376
2639.0,385
2641.0,394
2639.0,403
2641.0,411
2639.0,421
2623.0,429
2596.0,437
2579.0,446
2574.0,455
2568.0,464
2564.0,473
2567.0,481
2573.0,490
2574.0,499
2574.0,507
2575.0,516
2571.0,525
2570.0,533
2570.0,542
2571.0,551
2571.0,559
2571.0,568
2572.0,577
2571.0,586
2571.0,595
2569.0,603
2571.0,613
2572.0,621
2572.0,630
2572.0,639
2569.0,647
2570.0,656
2567.0,665
2570.0,673
2592.0,682
2623.0,691
2641.0,699
2647.0,708
2653.0,716
2656.0,725
2657.0,733
2654.0,742
2652.0,750
2647.0,759
2647.0,767
2647.0,776
2644.0,785
2645.0,794
2643.0,803
2646.0,811
2642.0,821
2639.0,829
2637.0,838
2638.0,847
2637.0,855
2638.0,864
2631.0,873
2627.0,882
2625.0,891
2629.0,900
2635.0,908
2635.0,917
2637.0,926
2640.0,935
2645.0,943
2647.0,952
2641.0,961
2639.0,969
2639.0,978
2640.0,987
2640.0,996
2647.0,1004
2646.0,1013
2640.0,1022
2637.0,1040
2637.0,1049
2640.0,1058
2638.0,1066
2621.0,1075
2599.0,1084
2577.0,1091
2567.0,1100
2566.0,1109
2566.0,1118
2567.0,1127
2567.0,1135
2569.0,1144
2563.0,1152
2566.0,1160
2562.0,1169
2567.0,1177
2564.0,1186
2566.0,1195
2564.0,1204
2563.0,1211
2569.0,1218
2568.0,1226
2569.0,1235
2574.0,1244
2575.0,1252
2575.0,1261
2573.0,1270
2569.0,1279
2567.0,1287
