steering,fixpoint_odometer_steps
2567.0,1287
2569.0,1279
2573.0,1270
2575.0,1261
2574.0,1244
2569.0,1235
2568.0,1226
2569.0,1218
2563.0,1211
2564.0,1204
2566.0,1195
2564.0,1186
2567.0,1177
2562.0,1169
2566.0,1160
2563.0,1152
2569.0,1144
2567.0,1135
2566.0,1118
2567.0,1100
2577.0,1091
2599.0,1084
2621.0,1075
2638.0,1066
2640.0,1058
2637.0,1049
2640.0,1022
2646.0,1013
2647.0,1004
2640.0,996
2639.0,978
2641.0,961
2647.0,952
2645.0,943
2640.0,935
2637.0,926
2635.0,917
2629.0,900
2625.0,891
2627.0,882
2631.0,873
2638.0,864
2637.0,855
2638.0,847
2637.0,838
2639.0,829
2642.0,821
2646.0,811
2643.0,803
2645.0,794
2644.0,785
2647.0,776
2652.0,750
2654.0,742
2657.0,733
2656.0,725
2653.0,716
2647.0,708
2641.0,699
2623.0,691
2592.0,682
2570.0,673
2567.0,665
2570.0,656
2569.0,647
2572.0,639
2571.0,613
2569.0,603
2571.0,595
2572.0,577
2571.0,568
2570.0,542
2571.0,525
2575.0,516
2574.0,507
2573.0,490
2567.0,481
2564.0,473
2568.0,464
2574.0,455
2579.0,446
2596.0,437
2623.0,429
2639.0,421
2641.0,411
2639.0,403
2641.0,394
2639.0,385
2641.0,376
2645.0,367
2647.0,359
2644.0,350
2642.0,341
2638.0,323
2639.0,315
2640.0,306
2641.0,297
2642.0,289
2638.0,280
2635.0,269
2634.0,261
2635.0,252
2633.0,243
2634.0,234
2635.0,225
2637.0,216
2638.0,207
2639.0,199
2642.0,190
2644.0,181
2640.0,163
2639.0,155
2638.0,146
2642.0,128
2644.0,119
2647.0,110
2652.0,102
2656.0,93
2655.0,85
2648.0,67
2637.0,59
2639.0,50
2619.0,41
2589.0,33
2571.0,24
2569.0,15
2568.0,7
2569.0,2
