"board_time";"server_time";"steering";"odometer_speed";"tie";"fixpoint_hall";"fixpoint_odometer_steps";"fixpoint_tie_steps";"fixpoint_time";"wifi";"battery"
"1701779668789";"1701779668887";"3144.0";"0.0";"0.0";"0.0";"1979";"1004";"n/a";"-50.0";"3884"
"1701779668589";"1701779668683";"3134.0";"19.0";"0.0";"0.0";"1979";"1004";"n/a";"-50.0";"3884"
"1701779668389";"1701779668474";"3086.0";"19.0";"0.0";"0.0";"1978";"1004";"n/a";"-50.0";"3883"
"1701779668189";"1701779668375";"3061.0";"0.0";"0.0";"0.0";"1977";"1004";"n/a";"-50.0";"3873"
"1701779667989";"1701779668067";"3012.0";"0.0";"0.0";"0.0";"1977";"1004";"n/a";"-49.0";"3882"
"1701779667789";"1701779667966";"3032.0";"0.0";"0.0";"0.0";"1977";"1004";"n/a";"-50.0";"3884"
"1701779667589";"1701779667762";"3028.0";"39.0";"0.0";"0.0";"1977";"1004";"n/a";"-50.0";"3879"
"1701779667389";"1701779667556";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-50.0";"3884"
"1701779667189";"1701779667352";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-50.0";"3884"
"1701779666989";"1701779667056";"3862.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-50.0";"3028"
"1701779666789";"1701779666944";"3027.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3027"
"1701779666589";"1701779666736";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779666389";"1701779666477";"3027.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3863"
"1701779666189";"1701779666327";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779665989";"1701779666122";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779665789";"1701779665918";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-50.0";"3884"
"1701779665589";"1701779665713";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779665389";"1701779665508";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779665189";"1701779665283";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-50.0";"3884"
"1701779664989";"1701779665103";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779664789";"1701779664893";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779664589";"1701779664689";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779664389";"1701779664484";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3884"
"1701779664189";"1701779664264";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-52.0";"3884"
"1701779663989";"1701779664176";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-52.0";"3872"
"1701779663789";"1701779663865";"3028.0";"0.0";"0.0";"0.0";"1975";"1004";"n/a";"-51.0";"3863"
"1701779663589";"1701779663767";"3028.0";"19.0";"0.0";"0.0";"1975";"1004";"n/a";"-50.0";"3884"
"1701779663389";"1701779663562";"3025.0";"58.0";"37.0";"0.0";"1974";"1004";"n/a";"-51.0";"3888"
"1701779663189";"1701779663357";"2977.0";"137.0";"74.0";"0.0";"1971";"1002";"n/a";"-50.0";"3884"
"1701779662989";"1701779663153";"2865.0";"117.0";"74.0";"0.0";"1964";"998";"n/a";"-49.0";"3884"
"1701779662789";"1701779662948";"2808.0";"157.0";"74.0";"0.0";"1958";"994";"n/a";"-49.0";"3888"
"1701779662589";"1701779662743";"2795.0";"274.0";"111.0";"0.0";"1950";"990";"n/a";"-50.0";"3888"
"1701779662389";"1701779662539";"2786.0";"255.0";"129.0";"0.0";"1936";"984";"n/a";"-49.0";"3885"
"1701779662189";"1701779662333";"2789.0";"314.0";"148.0";"0.0";"1923";"977";"n/a";"-50.0";"3888"
"1701779661989";"1701779662128";"2773.0";"314.0";"166.0";"0.0";"1907";"969";"n/a";"-51.0";"3887"
"1701779661789";"1701779661924";"2789.0";"294.0";"129.0";"0.0";"1891";"960";"n/a";"-53.0";"3888"
"1701779661589";"1701779661719";"2811.0";"274.0";"129.0";"0.0";"1876";"953";"n/a";"-55.0";"3885"
"1701779661389";"1701779661514";"2803.0";"255.0";"111.0";"0.0";"1862";"946";"n/a";"-52.0";"3886"
"1701779661189";"1701779661309";"2756.0";"314.0";"148.0";"0.0";"1849";"940";"n/a";"-54.0";"3888"
"1701779660989";"1701779661109";"2729.0";"235.0";"111.0";"0.0";"1833";"932";"n/a";"-53.0";"3889"
"1701779660789";"1701779660899";"2684.0";"215.0";"92.0";"0.0";"1821";"926";"n/a";"-56.0";"3885"
"1701779660589";"1701779660695";"2706.0";"274.0";"37.0";"0.0";"1810";"921";"n/a";"-52.0";"3888"
"1701779660389";"1701779660490";"2659.0";"274.0";"92.0";"0.0";"1796";"919";"n/a";"-56.0";"3886"
"1701779660189";"1701779660264";"2728.0";"373.0";"185.0";"0.0";"1782";"914";"n/a";"-56.0";"3885"
"1701779659989";"1701779660183";"3882.0";"412.0";"185.0";"0.0";"1763";"904";"n/a";"-55.0";"2733"
"1701779659789";"1701779659865";"2714.0";"333.0";"148.0";"0.0";"1742";"894";"n/a";"-54.0";"3882"
"1701779659589";"1701779659773";"2722.0";"235.0";"55.0";"0.0";"1725";"886";"n/a";"-56.0";"3874"
"1701779659389";"1701779659480";"2742.0";"294.0";"111.0";"0.0";"1713";"883";"n/a";"-56.0";"3890"
"1701779659188";"1701779659466";"2793.0";"333.0";"166.0";"0.0";"1698";"877";"n/a";"-57.0";"3885"
"1701779658988";"1701779659169";"2830.0";"314.0";"148.0";"0.0";"1681";"868";"n/a";"-56.0";"3886"
"1701779658388";"1701779658544";"2794.0";"255.0";"111.0";"0.0";"1639";"846";"n/a";"-59.0";"3888"
"1701779658188";"1701779658340";"2826.0";"215.0";"111.0";"0.0";"1626";"840";"n/a";"-58.0";"3887"
"1701779657988";"1701779658135";"2881.0";"176.0";"74.0";"0.0";"1615";"834";"n/a";"-58.0";"3888"
"1701779657788";"1701779657930";"2917.0";"215.0";"111.0";"0.0";"1606";"830";"n/a";"-60.0";"3885"
"1701779657588";"1701779657725";"3063.0";"274.0";"129.0";"0.0";"1595";"824";"n/a";"-60.0";"3887"
"1701779657388";"1701779657520";"3182.0";"255.0";"129.0";"0.0";"1581";"817";"n/a";"-61.0";"3887"
"1701779657188";"1701779657305";"3242.0";"294.0";"148.0";"0.0";"1568";"810";"n/a";"-59.0";"3886"
"1701779656988";"1701779657213";"3207.0";"255.0";"111.0";"0.0";"1553";"802";"n/a";"-58.0";"3888"
"1701779656388";"1701779656496";"3241.0";"294.0";"148.0";"0.0";"1513";"781";"n/a";"-57.0";"3888"
"1701779656188";"1701779656292";"3268.0";"314.0";"148.0";"0.0";"1498";"773";"n/a";"-55.0";"3887"
"1701779655988";"1701779656106";"3268.0";"157.0";"92.0";"0.0";"1482";"765";"n/a";"-57.0";"3878"
"1701779655788";"1701779656092";"3263.0";"196.0";"74.0";"0.0";"1474";"760";"n/a";"-57.0";"3860"
"1701779655388";"1701779655575";"3237.0";"274.0";"148.0";"0.0";"1449";"748";"n/a";"-57.0";"3877"
"1701779655188";"1701779655370";"3889.0";"294.0";"148.0";"0.0";"1435";"740";"n/a";"-59.0";"3227"
"1701779654988";"1701779655068";"3242.0";"255.0";"111.0";"0.0";"1420";"732";"n/a";"-58.0";"3889"
"1701779654788";"1701779655043";"3272.0";"294.0";"148.0";"0.0";"1407";"726";"n/a";"-56.0";"3888"
"1701779654588";"1701779654756";"3273.0";"314.0";"185.0";"0.0";"1392";"718";"n/a";"-56.0";"3885"
"1701779654388";"1701779654551";"3237.0";"274.0";"111.0";"0.0";"1376";"708";"n/a";"-61.0";"3887"
"1701779654188";"1701779654284";"3871.0";"235.0";"129.0";"0.0";"1362";"702";"n/a";"-61.0";"3228"
"1701779653988";"1701779654243";"3231.0";"274.0";"129.0";"0.0";"1350";"695";"n/a";"-61.0";"3231"
"1701779653788";"1701779653936";"3229.0";"235.0";"129.0";"0.0";"1336";"688";"n/a";"-59.0";"3886"
"1701779653588";"1701779653732";"3188.0";"235.0";"111.0";"0.0";"1324";"681";"n/a";"-57.0";"3886"
"1701779653388";"1701779653527";"3170.0";"235.0";"129.0";"0.0";"1312";"675";"n/a";"-57.0";"3886"
