"board_time";"server_time";"steering";"odometer_speed";"tie";"fixpoint_hall";"fixpoint_odometer_steps";"fixpoint_tie_steps";"fixpoint_time";"wifi";"battery"
"3403411807276";"1701705980490";"2744.0";"117.0";"37.0";"0.0";"518";"252";"9002";"-55.0";"3947"
"3403411807176";"1701705980438";"2733.0";"157.0";"37.0";"0.0";"515";"251";"8902";"-56.0";"3951"
"3403411807076";"1701705980295";"2723.0";"117.0";"74.0";"0.0";"511";"250";"8802";"-57.0";"3948"
"3403411806976";"1701705980216";"2722.0";"157.0";"74.0";"0.0";"508";"248";"8702";"-58.0";"3947"
"3403411806876";"1701705980142";"2725.0";"235.0";"148.0";"0.0";"504";"246";"8602";"-56.0";"3947"
"3403411806776";"1701705980131";"2723.0";"235.0";"74.0";"0.0";"498";"242";"8502";"-56.0";"3952"
"3403411806676";"1701705979934";"2708.0";"274.0";"148.0";"0.0";"492";"240";"8402";"-58.0";"3950"
"3403411806576";"1701705979927";"2715.0";"196.0";"111.0";"0.0";"485";"236";"8302";"-60.0";"3948"
"3403411806476";"1701705979730";"2719.0";"235.0";"111.0";"0.0";"480";"233";"8202";"-60.0";"3949"
"3403411806376";"1701705979721";"2712.0";"274.0";"111.0";"0.0";"474";"230";"8102";"-57.0";"3950"
"3403411806276";"1701705979503";"2719.0";"235.0";"111.0";"0.0";"467";"227";"8002";"-55.0";"3947"
"3403411806176";"1701705979414";"2736.0";"235.0";"148.0";"0.0";"461";"224";"7902";"-53.0";"3950"
"3403411806076";"1701705979295";"2747.0";"235.0";"74.0";"0.0";"455";"220";"7802";"-52.0";"3950"
"3403411805976";"1701705979218";"2773.0";"314.0";"148.0";"0.0";"449";"218";"7702";"-51.0";"3948"
"3403411805876";"1701705979210";"2782.0";"235.0";"148.0";"0.0";"441";"214";"7602";"-52.0";"3954"
"3403411805776";"1701705978990";"2775.0";"196.0";"74.0";"0.0";"435";"210";"7502";"-52.0";"3948"
"3403411805676";"1701705978910";"2773.0";"274.0";"148.0";"0.0";"430";"208";"7402";"-51.0";"3949"
"3403411805576";"1701705978902";"2743.0";"235.0";"0.0";"0.0";"423";"204";"7302";"-50.0";"3950"
"3403411805476";"1701705978705";"3950.0";"274.0";"148.0";"0.0";"417";"204";"7202";"-50.0";"2691"
"3403411805375";"1701705978697";"2631.0";"235.0";"148.0";"0.0";"410";"200";"7101";"-50.0";"3950"
"3403411805275";"1701705978494";"2633.0";"314.0";"148.0";"0.0";"404";"196";"7001";"-50.0";"3950"
"3403411805175";"1701705978419";"2640.0";"274.0";"148.0";"0.0";"396";"192";"6901";"-50.0";"3950"
"3403411805075";"1701705978390";"2653.0";"274.0";"111.0";"0.0";"389";"188";"6801";"-52.0";"3952"
"3403411804975";"1701705978193";"2653.0";"274.0";"37.0";"0.0";"382";"185";"6701";"-55.0";"3949"
"3403411804875";"1701705978185";"2652.0";"274.0";"37.0";"0.0";"375";"184";"6601";"-55.0";"3947"
