board_time,server_time,steering,odometer_speed,tie,fixpoint_hall,fixpoint_odometer_steps,fixpoint_tie_steps,fixpoint_time,wifi,battery
48931211974707,1687283303646,2571.0,10.0,14.0,0.0,1155,860,n/a,-40.0,3979
48931211973707,1687283302622,2566.0,11.0,7.0,0.0,1147,856,n/a,-42.0,3979
48931211972707,1687283301598,2561.0,11.0,29.0,0.0,1138,854,n/a,-44.0,3981
48931211971707,1687283300574,2560.0,11.0,29.0,0.0,1129,846,n/a,-41.0,3979
48931211970707,1687283299653,2564.0,13.0,29.0,0.0,1120,838,n/a,-45.0,3982
48931211969707,1687283298629,2567.0,13.0,25.0,0.0,1110,830,n/a,-41.0,3982
48931211968707,1687283297604,2570.0,11.0,25.0,0.0,1100,823,n/a,-42.0,3981
48931211967707,1687283296580,2570.0,13.0,29.0,0.0,1091,816,n/a,-42.0,3979
48931211966707,1687283295659,2569.0,13.0,25.0,0.0,1081,808,n/a,-41.0,3972
48931211965706,1687283294635,2569.0,11.0,25.0,0.0,1071,801,n/a,-41.0,3981
48931211964706,1687283293611,2569.0,11.0,25.0,0.0,1062,794,n/a,-41.0,3982
48931211963706,1687283292587,2572.0,13.0,0.0,0.0,1053,787,n/a,-41.0,3981
48931211962706,1687283291665,2567.0,13.0,25.0,0.0,1043,787,n/a,-45.0,3975
48931211961706,1687283290641,2567.0,13.0,22.0,0.0,1033,780,n/a,-46.0,3979
48931211960706,1687283289617,2560.0,11.0,25.0,0.0,1023,774,n/a,-45.0,3979
48931211959706,1687283288593,2560.0,13.0,29.0,0.0,1014,767,n/a,-45.0,3985
48931211958706,1687283287569,2565.0,13.0,29.0,0.0,1004,759,n/a,-46.0,3982
48931211957706,1687283286647,2571.0,11.0,29.0,0.0,994,751,n/a,-46.0,3985
48931211956706,1687283285623,2566.0,11.0,18.0,0.0,985,743,n/a,-50.0,3982
48931211955706,1687283284599,2577.0,11.0,18.0,0.0,976,738,n/a,-50.0,3982
48931211954706,1687283283575,2588.0,11.0,29.0,0.0,967,733,n/a,-47.0,3984
48931211953706,1687283282654,2599.0,11.0,29.0,0.0,958,725,n/a,-45.0,3985
48931211952706,1687283281630,2632.0,13.0,25.0,0.0,949,717,n/a,-45.0,3981
48931211951706,1687283280606,2652.0,13.0,29.0,0.0,939,710,n/a,-49.0,3979
48931211950706,1687283279889,2649.0,11.0,29.0,0.0,929,702,n/a,-54.0,3980
48931211949706,1687283278660,2652.0,13.0,29.0,0.0,920,694,n/a,-53.0,3965
48931211948706,1687283277739,2656.0,13.0,25.0,0.0,910,686,n/a,-49.0,3982
48931211947706,1687283276612,2654.0,13.0,29.0,0.0,900,679,n/a,-48.0,3985
48931211946706,1687283275588,2654.0,13.0,29.0,0.0,890,671,n/a,-47.0,3985
48931211945706,1687283274667,2658.0,13.0,25.0,0.0,880,663,n/a,-48.0,3979
48931211944706,1687283273643,2660.0,11.0,29.0,0.0,870,656,n/a,-49.0,3982
48931211943706,1687283272619,2658.0,13.0,29.0,0.0,861,648,n/a,-47.0,3979
48931211942706,1687283271697,2655.0,13.0,29.0,0.0,851,640,n/a,-47.0,3979
48931211941706,1687283270673,2653.0,13.0,25.0,0.0,841,632,n/a,-46.0,3979
48931211940706,1687283269751,2653.0,13.0,29.0,0.0,831,625,n/a,-49.0,3982
48931211939706,1687283268727,2653.0,13.0,29.0,0.0,821,617,n/a,-51.0,3982
48931211938706,1687283267600,2649.0,13.0,29.0,0.0,811,609,n/a,-47.0,3982
48931211937706,1687283266615,2646.0,13.0,25.0,0.0,801,601,n/a,-47.0,3982
48931211936706,1687283265656,2645.0,13.0,29.0,0.0,791,594,n/a,-47.0,3979
