board_time,server_time,steering,odometer_speed,tie,fixpoint_hall,fixpoint_odometer_steps,fixpoint_tie_steps,fixpoint_time,wifi,battery
1687282299830,1687282299937,2562.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282298830,1687282298991,2562.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282297829,1687282297966,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282296829,1687282297045,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3984
1687282295829,1687282296021,2563.0,0.0,0.0,0.0,1288,1012,n/a,-49.0,3993
1687282294829,1687282294997,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282293829,1687282293973,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282292829,1687282293051,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282291829,1687282292040,2562.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282290829,1687282291004,2562.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282289829,1687282289979,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282288829,1687282288955,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282287829,1687282287942,2562.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282286829,1687282287010,2563.0,0.0,0.0,0.0,1288,1012,n/a,-47.0,3993
1687282285829,1687282285986,2563.0,0.0,0.0,0.0,1288,1012,n/a,-49.0,3993
1687282284829,1687282284962,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282283829,1687282284040,2562.0,0.0,0.0,0.0,1288,1012,n/a,-49.0,3987
1687282282829,1687282283016,2563.0,0.0,0.0,0.0,1288,1012,n/a,-48.0,3993
1687282281829,1687282281993,2563.0,11.0,29.0,0.0,1288,1012,n/a,-48.0,3993
1687282280829,1687282280968,2570.0,14.0,29.0,0.0,1279,1004,n/a,-53.0,3999
1687282279829,1687282279938,2569.0,14.0,29.0,0.0,1268,996,n/a,-48.0,3988
1687282278829,1687282279023,2578.0,14.0,33.0,0.0,1257,988,n/a,-48.0,3996
1687282277829,1687282277999,2577.0,14.0,29.0,0.0,1246,979,n/a,-51.0,3994
1687282276829,1687282276975,2576.0,14.0,33.0,0.0,1235,971,n/a,-52.0,3999
1687282275829,1687282276053,2570.0,14.0,29.0,0.0,1224,962,n/a,-48.0,3995
1687282274829,1687282275029,2581.0,14.0,33.0,0.0,1213,954,n/a,-48.0,3996
1687282273829,1687282273939,2589.0,11.0,14.0,0.0,1202,945,n/a,-48.0,3996
1687282272829,1687282272941,2577.0,11.0,29.0,0.0,1193,941,n/a,-45.0,3999
1687282271829,1687282271957,2578.0,14.0,33.0,0.0,1184,933,n/a,-45.0,3996
1687282270829,1687282271036,2569.0,14.0,33.0,0.0,1173,924,n/a,-44.0,3996
1687282269829,1687282269947,2576.0,14.0,33.0,0.0,1162,915,n/a,-47.0,3995
1687282268829,1687282268954,2574.0,14.0,29.0,0.0,1151,906,n/a,-43.0,3996
1687282267829,1687282267964,2570.0,13.0,22.0,0.0,1140,898,n/a,-43.0,3994
1687282266829,1687282267042,2565.0,11.0,29.0,0.0,1130,892,n/a,-47.0,3985
1687282265829,1687282266018,2563.0,14.0,37.0,0.0,1121,884,n/a,-42.0,3996
1687282264829,1687282264994,2570.0,14.0,29.0,0.0,1110,874,n/a,-41.0,3996
1687282263829,1687282263970,2566.0,14.0,29.0,0.0,1099,866,n/a,-41.0,3996
1687282262829,1687282262951,2565.0,17.0,33.0,0.0,1088,858,n/a,-40.0,3990
1687282261829,1687282262025,2563.0,14.0,33.0,0.0,1075,849,n/a,-41.0,3999
1687282260829,1687282261001,2556.0,14.0,29.0,0.0,1064,840,n/a,-40.0,3994
1687282259829,1687282259977,2542.0,14.0,29.0,0.0,1053,832,n/a,-38.0,3997
1687282258829,1687282258953,2517.0,14.0,33.0,0.0,1042,824,n/a,-39.0,3994
1687282257829,1687282258032,2515.0,13.0,33.0,0.0,1031,815,n/a,-41.0,3999
1687282256829,1687282256971,2513.0,14.0,29.0,0.0,1021,806,n/a,-39.0,3997
1687282255829,1687282255983,2512.0,14.0,33.0,0.0,1010,798,n/a,-42.0,3994
1687282254829,1687282254959,2508.0,14.0,33.0,0.0,999,789,n/a,-39.0,3982
1687282253829,1687282254038,2507.0,14.0,29.0,0.0,988,780,n/a,-40.0,3994
1687282252829,1687282253019,2511.0,14.0,33.0,0.0,977,772,n/a,-39.0,3997
1687282251829,1687282251991,2511.0,14.0,33.0,0.0,966,763,n/a,-38.0,3997
1687282250829,1687282250970,2512.0,14.0,29.0,0.0,955,754,n/a,-37.0,3996
1687282249828,1687282249941,2511.0,14.0,33.0,0.0,944,746,n/a,-38.0,3985
1687282248828,1687282248947,2513.0,14.0,33.0,0.0,933,737,n/a,-43.0,4000
1687282247828,1687282247996,2510.0,14.0,29.0,0.0,922,728,n/a,-38.0,3994
1687282246828,1687282246958,2512.0,13.0,33.0,0.0,911,720,n/a,-32.0,3994
1687282245828,1687282245949,2512.0,14.0,33.0,0.0,901,711,n/a,-30.0,4000
1687282244828,1687282245027,2512.0,14.0,33.0,0.0,890,702,n/a,-38.0,3994
1687282243828,1687282244003,2512.0,14.0,33.0,0.0,879,693,n/a,-37.0,3997
1687282242828,1687282242979,2509.0,14.0,29.0,0.0,868,684,n/a,-33.0,3994
1687282241828,1687282241955,2510.0,14.0,33.0,0.0,857,676,n/a,-29.0,3997
1687282240828,1687282241038,2510.0,14.0,33.0,0.0,846,667,n/a,-27.0,2507
1687282239828,1687282240001,2514.0,14.0,29.0,0.0,835,658,n/a,-29.0,3997
1687282238828,1687282238939,2512.0,14.0,33.0,0.0,824,650,n/a,-29.0,3994
1687282237828,1687282237942,2511.0,14.0,33.0,0.0,813,641,n/a,-27.0,4000
1687282236828,1687282237040,2507.0,15.0,33.0,0.0,802,632,n/a,-25.0,3989
1687282235828,1687282235946,2510.0,13.0,33.0,0.0,790,623,n/a,-27.0,4000
1687282234828,1687282234992,2511.0,15.0,29.0,0.0,780,614,n/a,-29.0,3994
1687282233828,1687282233953,2512.0,14.0,33.0,0.0,768,606,n/a,-28.0,3997
1687282232828,1687282232952,2513.0,13.0,33.0,0.0,757,597,n/a,-31.0,3988
1687282231828,1687282231942,2512.0,14.0,29.0,0.0,747,588,n/a,-31.0,3997
1687282230828,1687282230948,2509.0,14.0,33.0,0.0,736,580,n/a,-31.0,3995
1687282229828,1687282229943,2506.0,13.0,33.0,0.0,725,571,n/a,-37.0,3997
1687282228828,1687282228947,2506.0,14.0,29.0,0.0,715,562,n/a,-39.0,3997
1687282227828,1687282227941,2505.0,14.0,29.0,0.0,704,554,n/a,-42.0,3995
1687282226828,1687282227006,2504.0,13.0,37.0,0.0,693,546,n/a,-42.0,3995
1687282225828,1687282225949,2504.0,14.0,29.0,0.0,683,536,n/a,-40.0,4000
1687282224828,1687282224953,2508.0,14.0,33.0,0.0,672,528,n/a,-41.0,3995
1687282223828,1687282223997,2535.0,14.0,33.0,0.0,661,519,n/a,-41.0,3998
1687282222828,1687282222943,2566.0,14.0,29.0,0.0,650,510,n/a,-40.0,3997
1687282221828,1687282221939,2565.0,14.0,29.0,0.0,639,502,n/a,-40.0,3981
1687282220828,1687282220964,2568.0,14.0,29.0,0.0,628,494,n/a,-40.0,3995
1687282219828,1687282219952,2565.0,14.0,33.0,0.0,617,486,n/a,-39.0,3993
1687282218828,1687282218949,2563.0,14.0,29.0,0.0,606,477,n/a,-40.0,3998
1687282217828,1687282217956,2562.0,14.0,33.0,0.0,595,469,n/a,-40.0,3998
1687282216828,1687282216944,2566.0,13.0,29.0,0.0,584,460,n/a,-41.0,3998
1687282215828,1687282215945,2566.0,15.0,29.0,0.0,574,452,n/a,-42.0,3988
1687282214828,1687282214946,2567.0,14.0,33.0,0.0,562,444,n/a,-44.0,3996
1687282213828,1687282214001,2568.0,14.0,29.0,0.0,551,435,n/a,-43.0,3999
1687282212828,1687282212964,2566.0,14.0,33.0,0.0,540,427,n/a,-43.0,4000
1687282211828,1687282212055,2567.0,14.0,29.0,0.0,529,418,n/a,-45.0,3997
1687282210828,1687282211032,2568.0,13.0,29.0,0.0,518,410,n/a,-47.0,3996
1687282209828,1687282209944,2569.0,15.0,29.0,0.0,508,402,n/a,-44.0,3996
1687282208828,1687282208944,2568.0,14.0,33.0,0.0,496,394,n/a,-43.0,3999
1687282207828,1687282207960,2570.0,14.0,29.0,0.0,485,385,n/a,-41.0,4001
1687282206828,1687282207038,2567.0,14.0,33.0,0.0,474,377,n/a,-42.0,3999
1687282205828,1687282205942,2573.0,14.0,29.0,0.0,463,368,n/a,-41.0,3999
1687282204828,1687282204990,2574.0,14.0,33.0,0.0,452,360,n/a,-42.0,3996
1687282203828,1687282204070,2574.0,14.0,29.0,0.0,441,351,n/a,-44.0,4002
1687282202828,1687282202986,2571.0,14.0,33.0,0.0,430,343,n/a,-45.0,3991
1687282201827,1687282202123,2566.0,14.0,29.0,0.0,419,334,n/a,-47.0,3999
1687282200827,1687282200997,2540.0,14.0,29.0,0.0,408,326,n/a,-45.0,3996
1687282199827,1687282199973,2513.0,14.0,33.0,0.0,397,318,n/a,-45.0,3999
1687282198827,1687282198949,2512.0,13.0,33.0,0.0,386,309,n/a,-44.0,3983
1687282197827,1687282197951,2512.0,14.0,29.0,0.0,376,300,n/a,-48.0,3996
1687282196827,1687282197003,2510.0,14.0,37.0,0.0,365,292,n/a,-48.0,3999
1687282195827,1687282195979,2508.0,14.0,29.0,0.0,354,282,n/a,-46.0,3999
1687282194827,1687282194966,2507.0,14.0,33.0,0.0,343,274,n/a,-49.0,3999
1687282193827,1687282194034,2505.0,14.0,33.0,0.0,332,265,n/a,-46.0,3993
1687282192827,1687282193010,2508.0,14.0,29.0,0.0,321,256,n/a,-44.0,3999
1687282191827,1687282191986,2510.0,15.0,33.0,0.0,310,248,n/a,-44.0,3996
1687282190827,1687282190949,2513.0,13.0,33.0,0.0,298,239,n/a,-46.0,4002
1687282189827,1687282190040,2511.0,14.0,29.0,0.0,288,230,n/a,-48.0,3996
1687282188827,1687282189016,2513.0,14.0,33.0,0.0,277,222,n/a,-52.0,3999
1687282187827,1687282187992,2513.0,14.0,33.0,0.0,266,213,n/a,-52.0,3999
1687282186827,1687282186950,2516.0,14.0,29.0,0.0,255,204,n/a,-49.0,3999
1687282185827,1687282185949,2515.0,13.0,33.0,0.0,244,196,n/a,-49.0,3987
1687282184827,1687282184980,2517.0,15.0,33.0,0.0,234,187,n/a,-46.0,3999
1687282183827,1687282183999,2518.0,14.0,29.0,0.0,222,178,n/a,-49.0,3999
1687282182827,1687282182975,2521.0,13.0,33.0,0.0,211,170,n/a,-49.0,3996
1687282181827,1687282182053,2515.0,14.0,33.0,0.0,201,161,n/a,-51.0,4001
1687282180827,1687282181029,2510.0,14.0,33.0,0.0,190,152,n/a,-48.0,3996
1687282179827,1687282180006,2511.0,14.0,33.0,0.0,179,143,n/a,-49.0,3999
1687282178827,1687282179084,2509.0,14.0,29.0,0.0,168,134,n/a,-49.0,3999
1687282177827,1687282178060,2506.0,14.0,33.0,0.0,157,126,n/a,-49.0,3998
1687282176827,1687282177036,2503.0,14.0,33.0,0.0,146,117,n/a,-52.0,3999
1687282175827,1687282176407,2510.0,14.0,29.0,0.0,135,108,n/a,-50.0,3999
1687282174827,1687282174989,2516.0,14.0,33.0,0.0,124,100,n/a,-50.0,3997
1687282173827,1687282173964,2514.0,14.0,33.0,0.0,113,91,n/a,-51.0,4002
1687282172827,1687282173145,2509.0,13.0,29.0,0.0,102,82,n/a,-52.0,3996
1687282171827,1687282172206,2506.0,14.0,29.0,0.0,92,74,n/a,-50.0,3997
1687282170827,1687282171097,2507.0,13.0,33.0,0.0,81,66,n/a,-50.0,3999
1687282169827,1687282169988,2509.0,14.0,33.0,0.0,71,57,n/a,-49.0,4002
1687282168827,1687282169003,2513.0,13.0,29.0,0.0,60,48,n/a,-44.0,3988
1687282167827,1687282168001,2510.0,14.0,29.0,0.0,50,40,n/a,-47.0,3997
1687282166826,1687282166987,2507.0,14.0,33.0,0.0,39,32,n/a,-55.0,4000
1687282165826,1687282166255,2508.0,13.0,33.0,0.0,28,23,n/a,-54.0,4000
1687282164826,1687282164969,2526.0,14.0,29.0,0.0,18,14,n/a,-49.0,3997
1687282163826,1687282164032,2556.0,9.0,22.0,0.0,7,6,n/a,-48.0,4000
1687282162826,1687282163227,2560.0,0.0,0.0,0.0,0,0,n/a,-53.0,3980
1687282161826,1687282163212,2561.0,0.0,0.0,0.0,0,0,n/a,-52.0,3997
1687282160826,1687282161191,2561.0,0.0,0.0,0.0,0,0,n/a,-51.0,3997
1687282159826,1687282160039,2560.0,0.0,0.0,0.0,0,0,n/a,-51.0,3997
1687282158826,1687282159014,2562.0,0.0,0.0,0.0,0,0,n/a,-53.0,3997
1687282157826,1687282157986,2562.0,0.0,0.0,0.0,0,0,n/a,-51.0,3997
1687282156826,1687282157146,2562.0,0.0,0.0,0.0,0,0,n/a,-51.0,3997
1687282155826,1687282155968,2561.0,0.0,0.0,0.0,0,0,n/a,-51.0,3993
1687282154826,1687282155601,2561.0,0.0,0.0,0.0,0,0,n/a,-52.0,3998
1687282153826,1687282153957,2562.0,0.0,0.0,0.0,0,0,n/a,-51.0,3998
1687282152826,1687282153075,2561.0,0.0,0.0,0.0,0,0,n/a,-52.0,3998
1687282151826,1687282151952,2562.0,0.0,0.0,0.0,0,0,n/a,-51.0,3990
1687282150826,1687282150956,2562.0,0.0,0.0,0.0,0,0,n/a,-52.0,3998
1687282149826,1687282150135,2562.0,0.0,0.0,0.0,0,0,n/a,-52.0,3998
1687282148826,1687282149082,2562.0,0.0,0.0,0.0,0,0,n/a,-52.0,3998
1687282147826,1687282147949,2562.0,0.0,0.0,0.0,0,0,n/a,-52.0,3998
