board_time,server_time,steering,odometer_speed,tie,fixpoint_hall,fixpoint_odometer_steps,fixpoint_tie_steps,fixpoint_time,wifi,battery
1687178230856,1687178230926,2567.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4005
1687178229856,1687178229902,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4005
1687178228856,1687178228980,2568.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4005
1687178227856,1687178227956,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4005
1687178226856,1687178226932,2567.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4005
1687178225856,1687178225908,2568.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4005
1687178224856,1687178224986,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4005
1687178223856,1687178223962,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4005
1687178222856,1687178222939,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,3996
1687178221856,1687178221915,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4005
1687178220856,1687178220993,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4005
1687178219856,1687178219969,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4005
1687178218856,1687178218945,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4005
1687178217856,1687178217922,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4005
1687178216856,1687178217000,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4006
1687178215856,1687178215976,2568.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4006
1687178214856,1687178214918,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4006
1687178213856,1687178213928,2568.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4006
1687178212855,1687178212904,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4006
1687178211855,1687178211982,2569.0,0.0,0.0,0.0,1287,998,n/a,-44.0,4006
1687178210855,1687178210958,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4006
1687178209855,1687178209934,2568.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4005
1687178208855,1687178208910,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4006
1687178207855,1687178207989,2569.0,0.0,0.0,0.0,1287,998,n/a,-42.0,4006
1687178206855,1687178206965,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4006
1687178205855,1687178205941,2568.0,0.0,0.0,0.0,1287,998,n/a,-43.0,3997
1687178204855,1687178204917,2568.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4006
1687178203855,1687178203995,2569.0,0.0,0.0,0.0,1287,998,n/a,-43.0,4006
1687178202855,1687178202971,2569.0,10.0,25.0,0.0,1287,998,n/a,-43.0,4006
1687178201855,1687178201948,2569.0,11.0,22.0,0.0,1279,991,n/a,-44.0,4004
1687178200855,1687178200924,2573.0,11.0,25.0,0.0,1270,985,n/a,-42.0,4006
1687178199855,1687178199900,2575.0,11.0,25.0,0.0,1261,978,n/a,-43.0,4006
1687178198855,1687178198979,2575.0,10.0,22.0,0.0,1252,971,n/a,-44.0,4004
1687178197855,1687178197955,2574.0,11.0,29.0,0.0,1244,965,n/a,-44.0,4006
1687178196855,1687178196931,2569.0,11.0,22.0,0.0,1235,957,n/a,-43.0,4005
1687178195855,1687178195907,2568.0,10.0,29.0,0.0,1226,951,n/a,-44.0,4006
1687178194855,1687178194990,2569.0,9.0,7.0,0.0,1218,943,n/a,-44.0,4006
1687178193855,1687178193962,2563.0,9.0,14.0,0.0,1211,941,n/a,-47.0,4003
1687178192855,1687178192938,2564.0,11.0,25.0,0.0,1204,937,n/a,-45.0,4002
1687178191855,1687178191914,2566.0,11.0,25.0,0.0,1195,930,n/a,-44.0,4006
1687178190855,1687178190931,2564.0,11.0,25.0,0.0,1186,923,n/a,-47.0,4006
1687178189855,1687178189969,2567.0,10.0,25.0,0.0,1177,916,n/a,-47.0,4006
1687178188855,1687178188945,2562.0,11.0,18.0,0.0,1169,909,n/a,-46.0,3995
1687178187855,1687178187921,2566.0,10.0,3.0,0.0,1160,904,n/a,-47.0,4009
1687178186855,1687178187000,2563.0,10.0,25.0,0.0,1152,903,n/a,-46.0,4006
1687178185855,1687178185976,2569.0,11.0,25.0,0.0,1144,896,n/a,-45.0,4009
1687178184855,1687178184952,2567.0,10.0,29.0,0.0,1135,889,n/a,-46.0,4006
1687178183855,1687178183929,2567.0,11.0,22.0,0.0,1127,881,n/a,-47.0,4003
1687178182855,1687178183008,2566.0,11.0,25.0,0.0,1118,875,n/a,-48.0,4006
1687178181855,1687178181984,2566.0,11.0,25.0,0.0,1109,868,n/a,-48.0,4006
1687178180855,1687178180960,2567.0,11.0,22.0,0.0,1100,861,n/a,-50.0,4004
1687178179855,1687178179936,2577.0,9.0,25.0,0.0,1091,855,n/a,-50.0,3989
1687178178855,1687178178913,2599.0,11.0,25.0,0.0,1084,848,n/a,-49.0,4009
1687178177855,1687178177991,2621.0,11.0,25.0,0.0,1075,841,n/a,-50.0,4004
1687178176855,1687178176968,2638.0,10.0,25.0,0.0,1066,834,n/a,-48.0,4004
1687178175855,1687178175944,2640.0,11.0,22.0,0.0,1058,827,n/a,-50.0,4001
1687178174855,1687178175023,2637.0,11.0,25.0,0.0,1049,821,n/a,-54.0,4004
1687178173855,1687178174102,2637.0,11.0,25.0,0.0,1040,814,n/a,-55.0,4009
1687178171855,1687178171952,2640.0,11.0,22.0,0.0,1022,799,n/a,-50.0,4004
1687178170855,1687178170928,2646.0,11.0,29.0,0.0,1013,793,n/a,-50.0,4004
1687178169855,1687178170007,2647.0,10.0,22.0,0.0,1004,785,n/a,-52.0,4006
1687178168855,1687178168984,2640.0,11.0,25.0,0.0,996,779,n/a,-50.0,4007
1687178167855,1687178167960,2640.0,11.0,25.0,0.0,987,772,n/a,-50.0,4007
1687178166855,1687178166937,2639.0,11.0,25.0,0.0,978,765,n/a,-49.0,4007
1687178165855,1687178165913,2639.0,10.0,25.0,0.0,969,758,n/a,-50.0,4004
1687178164855,1687178164992,2641.0,11.0,22.0,0.0,961,751,n/a,-56.0,4004
1687178163855,1687178163968,2647.0,11.0,29.0,0.0,952,745,n/a,-54.0,4007
1687178162855,1687178162945,2645.0,10.0,22.0,0.0,943,737,n/a,-51.0,4005
1687178161855,1687178161922,2640.0,11.0,25.0,0.0,935,731,n/a,-50.0,4004
1687178160854,1687178161001,2637.0,11.0,25.0,0.0,926,724,n/a,-55.0,4010
1687178159854,1687178159977,2635.0,11.0,25.0,0.0,917,717,n/a,-57.0,4004
1687178158854,1687178159056,2635.0,10.0,25.0,0.0,908,710,n/a,-57.0,3998
1687178157854,1687178157931,2629.0,11.0,25.0,0.0,900,703,n/a,-55.0,4007
1687178156854,1687178157010,2625.0,11.0,25.0,0.0,891,696,n/a,-54.0,4007
1687178155854,1687178155987,2627.0,11.0,25.0,0.0,882,689,n/a,-51.0,4007
1687178154854,1687178154963,2631.0,11.0,25.0,0.0,873,682,n/a,-48.0,4005
1687178153854,1687178153940,2638.0,11.0,22.0,0.0,864,675,n/a,-46.0,4007
1687178152854,1687178153024,2637.0,10.0,29.0,0.0,855,669,n/a,-46.0,4007
1687178151854,1687178151996,2638.0,11.0,22.0,0.0,847,661,n/a,-48.0,4005
1687178150854,1687178150973,2637.0,11.0,25.0,0.0,838,655,n/a,-51.0,4007
1687178149854,1687178149950,2639.0,10.0,25.0,0.0,829,648,n/a,-52.0,4007
1687178148854,1687178148927,2642.0,13.0,25.0,0.0,821,641,n/a,-52.0,4004
1687178147854,1687178147913,2646.0,10.0,25.0,0.0,811,634,n/a,-49.0,4010
1687178146854,1687178146983,2643.0,11.0,25.0,0.0,803,627,n/a,-47.0,4005
1687178145854,1687178145960,2645.0,11.0,25.0,0.0,794,620,n/a,-47.0,4010
1687178144854,1687178144937,2644.0,11.0,25.0,0.0,785,613,n/a,-48.0,4005
1687178143854,1687178143918,2647.0,11.0,25.0,0.0,776,606,n/a,-48.0,4010
1687178142854,1687178142994,2647.0,10.0,25.0,0.0,767,599,n/a,-50.0,4005
