"board_time";"server_time";"steering";"odometer_speed";"tie";"fixpoint_hall";"fixpoint_odometer_steps";"fixpoint_tie_steps";"fixpoint_time";"wifi";"battery"
"3412225528489";"1706113077203";"3695.0";"314.0";"148.0";"0.0";"1755";"857";"21004";"-41.0";"2808"
"3412225528389";"1706113077184";"2844.0";"353.0";"185.0";"0.0";"1747";"853";"20904";"-43.0";"2844"
"3412225528289";"1706113077016";"2847.0";"314.0";"74.0";"0.0";"1738";"848";"20804";"-43.0";"3698"
"3412225528189";"1706113076999";"2849.0";"314.0";"148.0";"0.0";"1730";"846";"20704";"-43.0";"3695"
"3412225528089";"1706113076992";"2856.0";"353.0";"148.0";"0.0";"1722";"842";"20604";"-44.0";"3693"
"3412225527989";"1706113076877";"3698.0";"314.0";"111.0";"0.0";"1713";"838";"20504";"-44.0";"2857"
"3412225527889";"1706113076672";"2857.0";"353.0";"74.0";"0.0";"1705";"835";"20404";"-45.0";"3698"
"3412225527789";"1706113076485";"2856.0";"353.0";"148.0";"0.0";"1696";"833";"20304";"-45.0";"3697"
"3412225527689";"1706113076467";"2843.0";"314.0";"185.0";"0.0";"1687";"829";"20204";"-46.0";"3693"
"3412225527589";"1706113076279";"2836.0";"353.0";"148.0";"0.0";"1679";"824";"20104";"-45.0";"3697"
"3412225527489";"1706113076263";"2847.0";"314.0";"148.0";"0.0";"1670";"820";"20004";"-45.0";"3711"
"3412225527389";"1706113076078";"2858.0";"353.0";"148.0";"0.0";"1662";"816";"19904";"-43.0";"3693"
"3412225527289";"1706113076058";"2851.0";"314.0";"148.0";"0.0";"1653";"812";"19804";"-46.0";"3694"
"3412225527189";"1706113075883";"2854.0";"353.0";"185.0";"0.0";"1645";"808";"19704";"-47.0";"3695"
"3412225527089";"1706113075785";"2845.0";"314.0";"148.0";"0.0";"1636";"803";"19604";"-47.0";"3692"
"3412225526989";"1706113075724";"2857.0";"314.0";"185.0";"0.0";"1628";"799";"19504";"-45.0";"3691"
"3412225526889";"1706113075648";"2860.0";"314.0";"148.0";"0.0";"1620";"794";"19404";"-46.0";"3690"
"3412225526789";"1706113075485";"2856.0";"314.0";"148.0";"0.0";"1612";"790";"19304";"-46.0";"3693"
"3412225526689";"1706113075390";"2859.0";"314.0";"111.0";"0.0";"1604";"786";"19204";"-45.0";"3692"
"3412225526589";"1706113075349";"3690.0";"314.0";"148.0";"0.0";"1596";"783";"19104";"-44.0";"2853"
"3412225526489";"1706113075341";"2861.0";"314.0";"148.0";"0.0";"1588";"779";"19004";"-46.0";"2861"
"3412225526389";"1706113075120";"2860.0";"274.0";"148.0";"0.0";"1580";"775";"18904";"-48.0";"3694"
"3412225526289";"1706113075034";"2864.0";"353.0";"148.0";"0.0";"1573";"771";"18804";"-44.0";"3694"
"3412225526189";"1706113074884";"2857.0";"314.0";"148.0";"0.0";"1564";"767";"18704";"-46.0";"3693"
"3412225526089";"1706113074829";"2857.0";"314.0";"185.0";"0.0";"1556";"763";"18604";"-47.0";"3693"
"3412225525989";"1706113074681";"2858.0";"314.0";"148.0";"0.0";"1548";"758";"18504";"-44.0";"3693"
"3412225525889";"1706113074632";"2853.0";"353.0";"148.0";"0.0";"1540";"754";"18404";"-44.0";"3693"
"3412225525789";"1706113074624";"2857.0";"353.0";"148.0";"0.0";"1531";"750";"18304";"-45.0";"3696"
"3412225525689";"1706113074419";"2861.0";"314.0";"148.0";"0.0";"1522";"746";"18204";"-45.0";"3695"
"3412225525589";"1706113074288";"2863.0";"353.0";"185.0";"0.0";"1514";"742";"18104";"-43.0";"3692"
"3412225525489";"1706113074215";"2853.0";"353.0";"185.0";"0.0";"1505";"737";"18004";"-43.0";"3694"
"3412225525389";"1706113074078";"2849.0";"353.0";"148.0";"0.0";"1496";"732";"17904";"-46.0";"3694"
"3412225525289";"1706113073992";"2904.0";"353.0";"148.0";"0.0";"1487";"728";"17804";"-46.0";"3695"
"3412225525189";"1706113073918";"2891.0";"353.0";"185.0";"0.0";"1478";"724";"17704";"-48.0";"3692"
"3412225525089";"1706113073907";"2907.0";"353.0";"185.0";"0.0";"1469";"719";"17604";"-47.0";"3695"
"3412225524989";"1706113073710";"2901.0";"353.0";"111.0";"0.0";"1460";"714";"17504";"-47.0";"3695"
"3412225524888";"1706113073702";"2908.0";"353.0";"0.0";"0.0";"1451";"711";"17403";"-46.0";"3698"
"3412225524788";"1706113073506";"2867.0";"314.0";"148.0";"0.0";"1442";"711";"17303";"-44.0";"3696"
"3412225524688";"1706113073498";"2832.0";"392.0";"185.0";"0.0";"1434";"707";"17203";"-45.0";"3692"
"3412225524588";"1706113073308";"2769.0";"314.0";"111.0";"0.0";"1424";"702";"17103";"-46.0";"3697"
"3412225524488";"1706113073221";"2657.0";"314.0";"111.0";"0.0";"1416";"699";"17003";"-47.0";"3695"
"3412225524388";"1706113073163";"2544.0";"353.0";"148.0";"0.0";"1408";"696";"16903";"-46.0";"3692"
"3412225524288";"1706113073152";"2405.0";"314.0";"148.0";"0.0";"1399";"692";"16803";"-46.0";"3695"
"3412225524188";"1706113073145";"2313.0";"314.0";"148.0";"0.0";"1391";"688";"16703";"-48.0";"3695"
"3412225524088";"1706113073138";"2253.0";"353.0";"148.0";"0.0";"1383";"684";"16603";"-48.0";"3695"
"3412225523988";"1706113073131";"2220.0";"314.0";"148.0";"0.0";"1374";"680";"16503";"-50.0";"3693"
"3412225523888";"1706113073124";"2243.0";"274.0";"148.0";"0.0";"1366";"676";"16403";"-49.0";"3693"
"3412225523788";"1706113073102";"2242.0";"353.0";"148.0";"0.0";"1359";"672";"16303";"-51.0";"3695"
"3412225523688";"1706113073095";"2232.0";"274.0";"185.0";"0.0";"1350";"668";"16203";"-51.0";"3695"
"3412225523488";"1706113073087";"2228.0";"314.0";"148.0";"0.0";"1335";"659";"16003";"-49.0";"3695"
"3412225523388";"1706113073079";"2242.0";"314.0";"148.0";"0.0";"1327";"655";"15903";"-50.0";"3695"
"3412225523188";"1706113073049";"2241.0";"353.0";"148.0";"0.0";"1312";"647";"15703";"-51.0";"3692"
"3412225522888";"1706113073042";"2244.0";"353.0";"148.0";"0.0";"1287";"634";"15403";"-58.0";"3697"
"3412225522388";"1706113073035";"2254.0";"353.0";"185.0";"0.0";"1243";"612";"14903";"-57.0";"3694"
"3412225521888";"1706113073028";"2267.0";"353.0";"148.0";"0.0";"1199";"588";"14403";"-55.0";"3695"
"3412225521788";"1706113073021";"2262.0";"353.0";"148.0";"0.0";"1190";"584";"14303";"-55.0";"3694"
"3412225521588";"1706113073014";"2287.0";"314.0";"185.0";"0.0";"1172";"575";"14103";"-56.0";"3694"
"3412225521488";"1706113073006";"2324.0";"353.0";"148.0";"0.0";"1164";"570";"14003";"-56.0";"3693"
"3412225521388";"1706113072975";"2326.0";"314.0";"148.0";"0.0";"1155";"566";"13903";"-57.0";"3697"
"3412225521288";"1706113072968";"2328.0";"353.0";"185.0";"0.0";"1147";"562";"13803";"-56.0";"3695"
"3412225521188";"1706113072961";"2274.0";"392.0";"185.0";"0.0";"1138";"557";"13703";"-54.0";"3692"
"3412225521088";"1706113072951";"2251.0";"314.0";"148.0";"0.0";"1128";"552";"13603";"-53.0";"3695"
