board_time,server_time,steering,odometer_speed,tie,fixpoint_hall,fixpoint_odometer_steps,fixpoint_tie_steps,fixpoint_time,wifi,battery
8436412764290,1687282764443,2523.0,5.0,29.0,0.0,856,702,n/a,-39.0,3987
8436412763290,1687282764437,2525.0,0.0,33.0,0.0,852,694,n/a,-40.0,3987
8436412762290,1687282764431,2524.0,11.0,29.0,0.0,852,685,n/a,-41.0,3990
8436412761290,1687282764425,2501.0,14.0,33.0,0.0,843,677,n/a,-44.0,3991
8436412760290,1687282764419,2498.0,13.0,29.0,0.0,832,668,n/a,-41.0,3988
8436412759290,1687282764413,2494.0,13.0,29.0,0.0,822,660,n/a,-39.0,3987
8436412758290,1687282764407,2489.0,10.0,33.0,0.0,812,652,n/a,-39.0,3987
8436412757290,1687282764402,2495.0,10.0,29.0,0.0,804,643,n/a,-39.0,3979
8436412756290,1687282764396,2498.0,10.0,33.0,0.0,796,635,n/a,-45.0,3990
8436412755290,1687282764390,2501.0,13.0,29.0,0.0,788,626,n/a,-35.0,3987
8436412754290,1687282764384,2502.0,14.0,29.0,0.0,778,618,n/a,-34.0,3987
8436412722289,1687282764378,2572.0,14.0,29.0,0.0,431,356,n/a,-43.0,3990
8436412721289,1687282764372,2571.0,14.0,33.0,0.0,420,348,n/a,-44.0,3987
8436412720289,1687282764366,2569.0,14.0,29.0,0.0,409,339,n/a,-44.0,3991
8436412719289,1687282764360,2564.0,14.0,33.0,0.0,398,331,n/a,-43.0,3990
8436412718289,1687282764354,2557.0,14.0,29.0,0.0,387,322,n/a,-44.0,3990
8436412717289,1687282764348,2559.0,11.0,25.0,0.0,376,314,n/a,-48.0,3987
8436412716289,1687282764342,2560.0,1.0,3.0,0.0,367,307,n/a,-49.0,3993
8436412715289,1687282764337,2552.0,0.0,0.0,0.0,366,306,n/a,-46.0,3987
8436412714289,1687282764331,2550.0,0.0,0.0,0.0,366,306,n/a,-49.0,3988
8436412713289,1687282764322,2551.0,0.0,0.0,0.0,366,306,n/a,-47.0,3988
8436412712289,1687282764315,2552.0,0.0,0.0,0.0,366,306,n/a,-47.0,3988
8436412711289,1687282764309,2552.0,0.0,0.0,0.0,366,306,n/a,-47.0,3988
8436412710289,1687282764303,2551.0,0.0,0.0,0.0,366,306,n/a,-48.0,3979
8436412709289,1687282764297,2552.0,13.0,18.0,0.0,366,306,n/a,-49.0,3988
8436412708289,1687282764291,2547.0,14.0,11.0,0.0,356,301,n/a,-51.0,3990
8436412707289,1687282764285,2539.0,13.0,29.0,0.0,345,298,n/a,-45.0,3988
8436412706289,1687282764278,2546.0,14.0,18.0,0.0,335,290,n/a,-49.0,3988
8436412705289,1687282764272,2527.0,14.0,29.0,0.0,324,285,n/a,-45.0,3988
8436412704289,1687282764266,2506.0,14.0,33.0,0.0,313,277,n/a,-47.0,3993
8436412703289,1687282762027,2498.0,14.0,29.0,0.0,302,268,n/a,-44.0,3988
8436412702289,1687282757020,2503.0,14.0,33.0,0.0,291,260,n/a,-44.0,3991
8436412701289,1687282752013,2501.0,13.0,33.0,0.0,280,251,n/a,-47.0,3993
8436412700289,1687282747006,2501.0,14.0,29.0,0.0,270,242,n/a,-48.0,3991
8436412699289,1687282741998,2503.0,13.0,29.0,0.0,259,234,n/a,-45.0,3989
8436412698289,1687282736992,2502.0,14.0,33.0,0.0,249,226,n/a,-47.0,3991
8436412697289,1687282731985,2500.0,14.0,33.0,0.0,238,217,n/a,-48.0,3990
8436412696289,1687282726978,2498.0,13.0,29.0,0.0,227,208,n/a,-50.0,3990
8436412695289,1687282721971,2497.0,14.0,29.0,0.0,217,200,n/a,-49.0,3991
8436412694289,1687282716964,2500.0,14.0,37.0,0.0,206,192,n/a,-50.0,3988
8436412693289,1687282711958,2506.0,14.0,29.0,0.0,195,182,n/a,-49.0,3985
8436412692289,1687282706951,2506.0,13.0,33.0,0.0,184,174,n/a,-49.0,3991
8436412691289,1687282701944,2508.0,15.0,33.0,0.0,174,165,n/a,-50.0,3988
8436412690289,1687282696937,2509.0,13.0,29.0,0.0,162,156,n/a,-47.0,3988
8436412689289,1687282691930,2505.0,14.0,29.0,0.0,152,148,n/a,-46.0,3988
8436412688289,1687282686924,2503.0,14.0,33.0,0.0,141,140,n/a,-46.0,3991
8436412687288,1687282681916,2505.0,14.0,33.0,0.0,130,131,n/a,-46.0,3991
8436412686288,1687282676910,2505.0,14.0,29.0,0.0,119,122,n/a,-49.0,3991
8436412685288,1687282671903,2506.0,13.0,33.0,0.0,108,114,n/a,-51.0,3988
8436412684288,1687282666896,2506.0,14.0,33.0,0.0,98,105,n/a,-51.0,3991
8436412683288,1687282661889,2499.0,14.0,29.0,0.0,87,96,n/a,-50.0,3991
8436412682288,1687282656882,2491.0,14.0,29.0,0.0,76,88,n/a,-50.0,3989
8436412681288,1687282651875,2496.0,13.0,33.0,0.0,65,80,n/a,-46.0,3989
8436412680288,1687282646868,2492.0,14.0,33.0,0.0,55,71,n/a,-47.0,3991
8436412679288,1687282641862,2491.0,0.0,29.0,0.0,44,62,n/a,-48.0,3989
8436412678288,1687282636855,2490.0,0.0,33.0,0.0,44,54,n/a,-50.0,3989
8436412677288,1687282631848,2491.0,0.0,29.0,0.0,44,45,n/a,-51.0,3992
8436412676288,1687282626840,2492.0,11.0,33.0,0.0,44,37,n/a,-52.0,3983
8436412675288,1687282621832,2520.0,14.0,33.0,0.0,35,28,n/a,-50.0,3992
8436412674288,1687282616823,2561.0,11.0,25.0,0.0,24,19,n/a,-52.0,3992
8436412673288,1687282611814,2580.0,11.0,25.0,0.0,15,12,n/a,-52.0,3992
8436412671288,1687282609581,2578.0,0.0,0.0,0.0,0,0,n/a,-51.0,3989
8436412670288,1687282609008,2578.0,0.0,0.0,0.0,0,0,n/a,-52.0,3989
8436412669288,1687282609001,2578.0,0.0,0.0,0.0,0,0,n/a,-51.0,3990
8436412668288,1687282608994,2578.0,0.0,0.0,0.0,0,0,n/a,-50.0,3990
8436412667288,1687282608987,2576.0,0.0,0.0,0.0,0,0,n/a,-48.0,3985
