"board_time";"server_time";"steering";"odometer_speed";"tie";"fixpoint_hall";"fixpoint_odometer_steps";"fixpoint_tie_steps";"fixpoint_time";"wifi";"battery"
"18560120345497";"1687283738642";"2648.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-45.0";"3974"
"18560120344497";"1687283737618";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-42.0";"3974"
"18560120343497";"1687283736696";"2636.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-45.0";"3972"
"18560120342497";"1687283735592";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-44.0";"3974"
"18560120341497";"1687283734593";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-44.0";"3974"
"18560120340497";"1687283733624";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-44.0";"3974"
"18560120339497";"1687283732703";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-43.0";"3965"
"18560120338497";"1687283731679";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-44.0";"3974"
"18560120337497";"1687283730654";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-44.0";"3974"
"18560120336497";"1687283729634";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-43.0";"3974"
"18560120335497";"1687283728607";"2637.0";"0.0";"0.0";"0.0";"246";"186";"n/a";"-44.0";"3974"
"18560120334497";"1687283727685";"2637.0";"9.0";"22.0";"0.0";"246";"186";"n/a";"-45.0";"3975"
"18560120333497";"1687283726661";"2600.0";"10.0";"22.0";"0.0";"239";"180";"n/a";"-47.0";"3978"
"18560120332497";"1687283725637";"2553.0";"11.0";"22.0";"0.0";"231";"174";"n/a";"-42.0";"3978"
"18560120331497";"1687283724613";"2525.0";"10.0";"25.0";"0.0";"222";"168";"n/a";"-46.0";"3975"
"18560120330497";"1687283723691";"2514.0";"11.0";"25.0";"0.0";"214";"161";"n/a";"-45.0";"3975"
"18560120329496";"1687283722667";"2513.0";"11.0";"29.0";"0.0";"205";"154";"n/a";"-43.0";"3978"
"18560120328496";"1687283721643";"2503.0";"11.0";"14.0";"0.0";"196";"146";"n/a";"-42.0";"3975"
"18560120327496";"1687283720619";"2497.0";"10.0";"18.0";"0.0";"187";"142";"n/a";"-46.0";"3978"
"18560120326496";"1687283719600";"2523.0";"11.0";"25.0";"0.0";"179";"137";"n/a";"-43.0";"3974"
"18560120325496";"1687283718674";"2560.0";"10.0";"29.0";"0.0";"170";"130";"n/a";"-46.0";"3974"
"18560120324496";"1687283717650";"2611.0";"11.0";"22.0";"0.0";"162";"122";"n/a";"-43.0";"3974"
"18560120323496";"1687283716626";"2629.0";"11.0";"29.0";"0.0";"153";"116";"n/a";"-43.0";"3977"
"18560120322496";"1687283715706";"2633.0";"10.0";"25.0";"0.0";"144";"108";"n/a";"-45.0";"3966"
"18560120321496";"1687283714682";"2635.0";"10.0";"11.0";"0.0";"136";"101";"n/a";"-42.0";"3977"
"18560120320496";"1687283713658";"2631.0";"10.0";"22.0";"0.0";"128";"98";"n/a";"-42.0";"3974"
"18560120319496";"1687283712632";"2630.0";"10.0";"25.0";"0.0";"120";"92";"n/a";"-42.0";"3974"
"18560120318496";"1687283711711";"2628.0";"11.0";"25.0";"0.0";"112";"85";"n/a";"-44.0";"3977"
"18560120317496";"1687283710691";"2639.0";"11.0";"25.0";"0.0";"103";"78";"n/a";"-43.0";"3977"
"18560120316496";"1687283709663";"2655.0";"11.0";"25.0";"0.0";"94";"71";"n/a";"-42.0";"3977"
"18560120315496";"1687283708639";"2651.0";"11.0";"22.0";"0.0";"85";"64";"n/a";"-44.0";"3977"
"18560120314496";"1687283707616";"2634.0";"10.0";"11.0";"0.0";"76";"58";"n/a";"-43.0";"3975"
"18560120313496";"1687283706694";"2611.0";"9.0";"25.0";"0.0";"68";"55";"n/a";"-42.0";"3977"
"18560120312496";"1687283705669";"2569.0";"9.0";"25.0";"0.0";"61";"48";"n/a";"-42.0";"3977"
"18560120311496";"1687283704646";"2519.0";"11.0";"25.0";"0.0";"54";"41";"n/a";"-41.0";"3977"
"18560120310496";"1687283703621";"2498.0";"11.0";"29.0";"0.0";"45";"34";"n/a";"-42.0";"3975"
"18560120309496";"1687283702700";"2496.0";"11.0";"29.0";"0.0";"36";"26";"n/a";"-51.0";"3968"
"18560120308496";"1687283701676";"2509.0";"11.0";"14.0";"0.0";"27";"18";"n/a";"-47.0";"3980"
"18560120307496";"1687283700652";"2522.0";"10.0";"18.0";"0.0";"18";"14";"n/a";"-48.0";"3977"
"18560120306496";"1687283699628";"2536.0";"10.0";"25.0";"0.0";"10";"9";"n/a";"-47.0";"3978"
"18560120305496";"1687283698706";"2588.0";"2.0";"7.0";"0.0";"2";"2";"n/a";"-45.0";"3969"
"18560120304496";"1687283697682";"2596.0";"0.0";"0.0";"0.0";"0";"0";"n/a";"-44.0";"3975"
"18560120303496";"1687283696661";"2596.0";"0.0";"0.0";"0.0";"0";"0";"n/a";"-45.0";"3975"
"18560120302496";"1687283695634";"2596.0";"0.0";"0.0";"0.0";"0";"0";"n/a";"-47.0";"3975"
"18560120301496";"1687283694593";"2596.0";"0.0";"0.0";"0.0";"0";"0";"n/a";"-47.0";"3975"
"18560120300496";"1687283693684";"3975.0";"0.0";"0.0";"0.0";"0";"0";"n/a";"-47.0";"2596"
"18560120299496";"1687283692668";"2596.0";"0.0";"0.0";"0.0";"0";"0";"n/a";"-46.0";"3975"
